month,income,rent,food,travel,entertainment,savings,expenses
7,46751,15634,3548,2454,3956,2494,25592
4,58174,5713,2784,4882,1820,5555,15199
11,77142,19096,7163,4223,3762,4674,34244
8,76572,12203,3420,1486,1471,5430,18580
5,32041,8545,7704,4207,3016,9859,23472
7,43227,13414,6838,4658,1121,9540,26031
10,55201,5863,4435,2896,2349,5149,15543
3,56069,9625,5481,4097,1780,8470,20983
7,36654,10307,5651,4078,3795,5347,23831
11,46370,6425,4063,3638,1120,9519,15246
11,49482,7304,4020,4086,3186,5949,18596
8,79806,5653,6757,2455,3134,7301,17999
5,31586,14351,7923,3946,3177,2504,29397
4,70231,13129,4149,4471,3299,6702,25048
8,25322,15034,2950,1206,2885,9765,22075
8,33932,11734,2024,2624,3834,7508,20216
3,49299,5443,7712,4680,2383,4654,20218
6,45179,15657,2017,3957,2836,5406,24467
5,25257,12459,5825,4287,1046,9147,23617
2,66501,9669,2569,2525,2968,5517,17731
8,77134,19464,7112,2482,3548,8652,32606
12,66136,10106,3355,1258,2833,4704,17552
6,29777,9436,3592,2352,3472,9415,18852
2,31249,7857,2830,1453,2398,5764,14538
12,75366,14472,7131,1798,2877,7412,26278
5,41390,8039,5082,1374,1730,8674,16225
1,40369,16987,7402,3511,1110,7257,29010
12,32881,16829,7848,1074,2250,3579,28001
10,29587,16950,2871,1241,2810,3761,23872
6,48264,13291,2834,2040,1134,7464,19299
12,28791,15278,5312,2712,2318,6132,25620
9,61473,15502,6952,4330,1609,2313,28393
1,42375,17437,5116,1122,2057,6315,25732
11,42611,18944,2969,3002,3475,4687,28390
11,62026,7737,2592,4382,2988,9310,17699
10,27833,11956,2254,3158,3246,7523,20614
12,72038,18641,4114,4327,1559,3718,28641
12,67013,10239,4965,3281,1258,8028,19743
3,71805,6607,4661,4015,3772,6499,19055
12,35754,19554,2602,1496,3721,5626,27373
7,62048,7953,3065,4939,2648,6574,18605
4,32577,17173,7907,4111,3184,8865,32375
9,51095,10933,3839,2145,1915,9080,18832
3,41248,16386,7905,2473,3983,9727,30747
5,55282,17531,4431,1726,3428,2823,27116
3,56737,9682,7353,2831,1237,6315,21103
7,72436,19853,2965,2821,1687,4414,27326
5,51891,16284,3737,2816,3505,7315,26342
9,44124,11333,2484,4590,2610,7079,21017
7,24566,12392,6134,1091,2158,6779,21775
2,22196,16154,2010,4432,3129,5820,25725
4,51115,15854,6719,2969,1594,9112,27136
9,69941,14047,6504,4194,3701,7806,28446
12,39859,11609,4027,3384,2750,3969,21770
2,31345,15338,7213,4679,1402,5103,28632
10,79008,19323,5364,1512,1821,5066,28020
9,54077,9925,5087,1602,3235,3759,19849
10,20864,14578,5038,1427,3540,5125,24583
5,32055,12250,2604,3019,2782,8566,20655
2,58157,14908,2968,2456,3302,6052,23634
4,39747,10783,6260,1006,2697,9865,20746
12,64484,17343,2436,3167,3472,7099,26418
12,31978,14917,4774,3434,2438,4281,25563
7,44599,15145,7775,2373,2190,6924,27483
12,55771,18333,3809,1640,2613,6838,26395
8,66942,11723,7505,4762,1484,7229,25474
3,77654,5184,7257,2121,3483,5034,18045
1,66540,5521,6909,2066,2555,9022,17051
4,37615,18889,4769,3230,3227,3123,30115
2,60727,15503,3829,3744,1900,7831,24976
8,64748,6248,2292,1564,2464,3234,12568
4,71863,14850,7594,4811,1643,8876,28898
2,59349,18349,5951,2696,3186,9570,30182
6,76857,6002,2461,4306,1786,7956,14555
6,49377,11266,5884,1445,3149,9317,21744
10,50031,16419,5233,4941,3515,2674,30108
4,69573,11444,4091,2930,3330,7513,21795
6,62733,19305,5936,1199,1017,4702,27457
2,31760,16330,7202,3995,2956,4305,30483
10,67690,15120,4939,1512,1755,3268,23326
12,53714,19980,7530,4597,1686,7097,33793
2,45762,12017,6806,1989,3036,5221,23848
10,70986,13585,7743,3260,1600,6719,26188
4,54332,6617,2088,2401,2043,6194,13149
8,60100,16833,3663,2812,2349,7222,25657
7,24944,5660,5301,1545,2379,5794,14885
12,68825,10524,7137,3533,1432,6078,22626
9,33877,12616,4720,3009,2041,4059,22386
8,49990,10250,4937,4432,2573,8012,22192
5,62907,17356,2421,2805,1375,3249,23957
2,54076,12512,5749,3215,2624,6029,24100
5,72138,11905,6971,1889,2363,4860,23128
8,69538,5319,6433,1930,2010,5513,15692
10,75283,15416,2265,4753,1715,5219,24149
9,78505,13775,4850,4665,2256,2178,25546
12,23258,8600,3378,4475,2127,9174,18580
12,75273,10960,3814,1827,2023,4199,18624
12,51629,10279,4264,3184,3784,6930,21511
9,57579,13773,6416,4304,1220,6677,25713
1,42958,16888,2849,3162,2985,7472,25884
9,59465,6767,6814,2275,2049,8708,17905
7,40317,14748,5736,2516,2087,9841,25087
9,35775,6798,2991,2312,3301,7536,15402
8,31039,17398,5764,2072,3783,7724,29017
1,49097,14190,3808,4523,1825,9830,24346
12,54207,13949,5274,1515,2154,7689,22892
8,42553,5282,2716,2914,1029,6291,11941
8,64402,19030,7080,1687,1786,8468,29583
11,73632,11337,2895,2019,1009,4529,17260
3,20055,10166,3176,2295,3477,4255,19114
1,72476,12121,5753,4502,2170,2935,24546
8,43161,19677,3776,2049,3745,9470,29247
3,52873,12409,4804,2093,3171,7418,22477
3,55969,19857,5392,3340,2642,2956,31231
1,35184,10489,3459,4477,2364,4473,20789
11,20669,9896,7711,2257,2541,3085,22405
5,32663,5130,4543,3278,1050,9362,14001
10,45318,6293,7268,4334,1397,6662,19292
7,53734,11059,6637,3985,1313,5434,22994
10,36691,11957,6730,4869,3695,9728,27251
9,38522,5060,5553,2609,1513,4665,14735
12,31656,7211,3349,2144,3549,4992,16253
7,35893,14740,4986,4534,1529,3101,25789
9,65857,17559,5330,1517,2784,6982,27190
8,36493,14973,6793,4095,3744,4976,29605
12,23632,11276,4122,1705,3781,2283,20884
2,50336,10363,5628,4751,2763,7176,23505
1,43112,13152,7700,3424,1859,8824,26135
7,58452,12973,2497,4571,3466,6471,23507
7,33266,18745,5487,2934,3241,8519,30407
8,75651,5037,2721,3484,1311,5790,12553
5,71067,10990,7870,3900,1995,4819,24755
3,36940,10438,3363,2745,3769,2787,20315
12,44003,12677,2307,2668,2322,6468,19974
